Дата,Время,Служба,Праздник
"01.08.2026, Суббота",11:00,Таинство Крещения,
"02.08.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"02.08.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"08.08.2026, Суббота",11:00,Таинство Крещения,
"09.08.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"09.08.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"15.08.2026, Суббота",11:00,Таинство Крещения,
"16.08.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"16.08.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"22.08.2026, Суббота",11:00,Таинство Крещения,
"23.08.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"23.08.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"29.08.2026, Суббота",11:00,Таинство Крещения,
"30.08.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"30.08.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"05.09.2026, Суббота",11:00,Таинство Крещения,
"06.09.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"06.09.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"12.09.2026, Суббота",11:00,Таинство Крещения,
"13.09.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"13.09.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"19.09.2026, Суббота",11:00,Таинство Крещения,
"20.09.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"20.09.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"26.09.2026, Суббота",11:00,Таинство Крещения,
"27.09.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"27.09.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"03.10.2026, Суббота",11:00,Таинство Крещения,
"04.10.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"04.10.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"10.10.2026, Суббота",11:00,Таинство Крещения,
"11.10.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"11.10.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"17.10.2026, Суббота",11:00,Таинство Крещения,
"18.10.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"18.10.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"24.10.2026, Суббота",11:00,Таинство Крещения,
"25.10.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"25.10.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"31.10.2026, Суббота",11:00,Таинство Крещения,
"01.11.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"01.11.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"07.11.2026, Суббота",11:00,Таинство Крещения,
"08.11.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"08.11.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"14.11.2026, Суббота",11:00,Таинство Крещения,
"15.11.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"15.11.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"21.11.2026, Суббота",11:00,Таинство Крещения,
"22.11.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"22.11.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"28.11.2026, Суббота",11:00,Таинство Крещения,
"29.11.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"29.11.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"05.12.2026, Суббота",11:00,Таинство Крещения,
"06.12.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"06.12.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"12.12.2026, Суббота",11:00,Таинство Крещения,
"13.12.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"13.12.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"19.12.2026, Суббота",11:00,Таинство Крещения,
"20.12.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"20.12.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
"26.12.2026, Суббота",11:00,Таинство Крещения,
"27.12.2026, Воскресенье",10:00,"Божественная литургия (Исповедь, Причастие)",
"27.12.2026, Воскресенье",12:00,Подготовительная беседа перед Таинством Крещения,
